Model,accuracy,precision,recall,f1
Logistic Regression,0.9636363636363636,0.9644420567548909,0.9636363636363636,0.9635115059268677
Decision Tree,0.9863636363636363,0.9868055555555556,0.9863636363636363,0.9863152866630287
Random Forest,0.9931818181818182,0.9937348484848485,0.9931818181818182,0.9931754816901672
KNN,0.9568181818181818,0.9628976143584398,0.9568181818181818,0.9567492608232794
SVM,0.9681818181818181,0.9715171192443921,0.9681818181818181,0.9680271341017991
Naive Bayes,0.9954545454545455,0.9958181818181817,0.9954545454545455,0.9954229797979799
